3 3	We had to drive away our car immediately .	B-SPATIAL_ENTITY O O B-MOTION B-MOTION_SIGNAL B-MOTION_SIGNAL I-MOTION_SIGNAL O O	B-mover O O B-trigger O O O O O
16 16	The problem , though , is that it takes a long time for ice sheets to melt , and we do n't really know how long that is .	O O O O O O O O O O O O O O B-SPATIAL_ENTITY O B-MOTION O O O O O O O O O O O O	O O O O O O O O O O O O O O B-mover O B-trigger O O O O O O O O O O O O
8 8	Below you can see photos from where I entered Chile most recently , via the Valley de Elqui , one of Chile 's most productive regions for vineyards .	O O O O O O O B-SPATIAL_ENTITY B-MOTION B-PLACE O O O B-MOTION_SIGNAL O B-PLACE I-PLACE I-PLACE O O O O O O O O O O O	O O O O O O O B-mover B-trigger O O O O O O O O O O O O O O O O O O O O
13 13	We drove to the NE on the 11 main road and turned NW at Cernat ( Csernáton ) .	B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL I-MOTION_SIGNAL I-MOTION_SIGNAL B-MOTION_SIGNAL O B-PATH I-PATH I-PATH O B-MOTION B-MOTION_SIGNAL B-SPATIAL_SIGNAL B-PLACE O B-PLACE O O	O O O O O O O O O O O B-trajector O B-trigger B-landmark O O O O
31 31	Ensenada to Guerrero Negro – 8 days , 432 miles Wednesday , December 21st , 2005 The past week has been a long ride through northern Baja , camping on roadsides in sparsely populated places .	O O O O O O O O O O O O O O O O O O O O O O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL B-PLACE I-PLACE O B-NONMOTION_EVENT B-SPATIAL_SIGNAL B-PATH B-SPATIAL_SIGNAL O O B-PLACE O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-trajector B-trigger O O B-landmark O
21 21	Getting back to the paved road we decided not to go back to Ciucea but to go on to Romanasi , where we met Road 1F/E81 .	B-MOTION B-MOTION_SIGNAL B-MOTION_SIGNAL O O B-PATH B-SPATIAL_ENTITY O O O B-MOTION B-MOTION_SIGNAL B-MOTION_SIGNAL B-PLACE O O B-MOTION B-MOTION_SIGNAL B-MOTION_SIGNAL B-PLACE O B-SPATIAL_SIGNAL B-SPATIAL_ENTITY B-MOTION B-PATH I-PATH O	O O O O O O O O O O O O O O O O O O O B-landmark O B-trigger O B-trajector O O O
17 17	South into Argentina Monday , December 11th , 2006 I spent a week in La Paz , where I talked to almost the entire American School .	O O O O O O O O O B-SPATIAL_ENTITY B-NONMOTION_EVENT O O B-SPATIAL_SIGNAL B-PLACE I-PLACE O B-SPATIAL_SIGNAL B-SPATIAL_ENTITY B-NONMOTION_EVENT O O O O O O O	O O O O O O O O O O O O O O B-landmark I-landmark O B-trigger O B-trajector O O O O O O O
34 34	The Andean Paramo – the future of the mountaintops Monday , June 19th , 2006 Before biking out of Bogota , a young professor from a local university took me into the mountains that overlook the city .	O O O O O O O O O O O O O O O O B-MOTION B-MOTION_SIGNAL I-MOTION_SIGNAL B-PLACE O O O B-SPATIAL_ENTITY O O O O B-MOTION B-SPATIAL_ENTITY B-MOTION_SIGNAL O B-PLACE O B-SPATIAL_SIGNAL O B-PLACE O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-trajector O B-trigger O B-landmark O
11 11	Biking Argentina ( and Chile ) after traveling the northern countries of South America is a bit of a shock .	B-MOTION B-PLACE O O B-PLACE O O B-MOTION O O B-PLACE B-SPATIAL_SIGNAL B-PLACE I-PLACE O O O O O O O	O O O O O O O O O O B-trajector B-trigger B-landmark I-landmark O O O O O O O
25 25	The small museum houses historic posters , capes , swords , paintings , and photos for aficionados of the corrida , and is perhaps best visited out of bullfighting season for those who want to get a glimpse of the interior of the ring .	O O B-PLACE B-SPATIAL_SIGNAL O B-SPATIAL_ENTITY O B-SPATIAL_ENTITY O B-SPATIAL_ENTITY O B-SPATIAL_ENTITY O O B-SPATIAL_ENTITY O O O O O O O O O O B-MOTION O O O O O O O O O O O O O O B-PLACE O O B-PLACE O	O O O O O O O O O O O O O O O O O O O O O O O O O B-trigger O O O O O O O O O O O O O O O O O O O
26 26	15-Aug-2003 -- On 15-August-2003 our journey to three confluence-points led us on the E 70 from the point south of Craiova to Strehaia , where we took the road to Targu Jiu .	O O O O O B-MOTION B-MOTION_SIGNAL O B-PLACE B-MOTION B-SPATIAL_ENTITY B-MOTION_SIGNAL O B-PATH I-PATH B-MOTION_SIGNAL O B-PLACE B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL B-PLACE B-MOTION_SIGNAL B-PLACE O B-SPATIAL_SIGNAL B-SPATIAL_ENTITY B-MOTION O B-PATH B-MOTION_SIGNAL B-PLACE I-PLACE O	O O O O O O O O O O O O O O O O O O O O O O O O O B-mover B-trigger O O O O O O
26 26	Heading north , I camped next to the houses of a few more families , and followed long scenic valleys and canyons up and down until reaching the city of Bucaramanga , another of Colombia ’s major cities .	B-MOTION B-MOTION_SIGNAL O B-SPATIAL_ENTITY B-NONMOTION_EVENT B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL O B-PLACE O O O O O O O B-MOTION O O B-PATH O B-PATH B-MOTION_SIGNAL O B-MOTION_SIGNAL O B-MOTION O B-PLACE O B-PLACE O O O O O O O O	O O O B-mover O O O O O O O O O O O O O O O O O O O O O O B-trigger O O O O O O O O O O O O
2 2	I was escorted out of town by Bruce , an American who helped me out while in Bogota .	B-SPATIAL_ENTITY O B-MOTION B-MOTION_SIGNAL O B-PLACE O B-SPATIAL_ENTITY O O O O B-NONMOTION_EVENT O O O B-SPATIAL_SIGNAL B-PLACE O	B-mover O B-trigger O O O O B-mover O O O O O O O O O O O
6 6	The way through the village , where we were accompanied by children , geese , chickens , cows , sheep etc. had the correct direction .	O B-PATH B-SPATIAL_SIGNAL O B-PLACE O B-SPATIAL_SIGNAL B-SPATIAL_ENTITY O B-NONMOTION_EVENT O B-SPATIAL_ENTITY O B-SPATIAL_ENTITY O B-SPATIAL_ENTITY O B-SPATIAL_ENTITY O B-SPATIAL_ENTITY O O O O O O	O O O O B-landmark O B-trigger O O B-trajector O O O O O O O O O O O O O O O O
27 27	Guerrero Negro to Loreto â € “ 4 days , 268 miles Monday , December 26th , 2005 Leaving Guerrero Negro early on the 22nd , I biked two days across Baja to the town of Santa Rosalia , an old mining town , which , like the rest of Baja , is full of United Staters .	O O O O O O O O O O O O O O O O O O B-MOTION B-PLACE I-PLACE O O O O O B-SPATIAL_ENTITY B-MOTION O O B-MOTION_SIGNAL B-PLACE B-MOTION_SIGNAL O B-PLACE O B-PLACE I-PLACE O O O O B-PLACE O O O O O O O B-PLACE O O B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL B-SPATIAL_ENTITY I-SPATIAL_ENTITY O	O O O O O O O O O O O O O O O O O O O O O O O O O O B-mover B-trigger O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
7 7	Alex let me climb to the top of the tower , where I was able to look across the treetops of a forest that stretches for thousands of miles beyond the horizon .	O O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O B-PLACE B-SPATIAL_SIGNAL O B-SPATIAL_ENTITY O B-SPATIAL_SIGNAL B-SPATIAL_ENTITY O O O B-NONMOTION_EVENT O O B-SPATIAL_ENTITY B-SPATIAL_SIGNAL O B-PLACE O B-MOTION O B-MEASURE I-MEASURE I-MEASURE B-MOTION_SIGNAL O B-PATH O	O O O O O O B-trajector B-trigger O B-landmark O O O O O O O O O O O O O O O O O O O O O O O
36 36	Guatemala to Placencia Belize – 6 days , 274 miles Friday , March 17th , 2006 After a night in a small Guatemalan village ( where I ran into a high school friend ) , I crossed into Belize .	O O O O O O O O O O O O O O O O O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O O O B-PLACE O B-SPATIAL_SIGNAL B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O O O B-SPATIAL_ENTITY O O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL B-PLACE O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-mover B-trigger O O O
0 0	Biking 10 miles down the road , we then spent the night at Jaguar Creek , an 'environmental peace' center .	B-MOTION B-MEASURE I-MEASURE B-MOTION_SIGNAL O B-PATH O B-SPATIAL_ENTITY O B-NONMOTION_EVENT O O B-SPATIAL_SIGNAL B-PLACE I-PLACE O O O O B-PLACE O	B-trigger O O O O O O B-mover O O O O O O O O O O O O O
11 11	The financial district , Madrid ’s Wall Street , begins here on calle de Alcalá .	O O B-PLACE O B-PLACE O O O O O B-PLACE B-SPATIAL_SIGNAL B-PATH I-PATH I-PATH O	O O O O O O O O O O O B-trigger B-landmark I-landmark I-landmark O
7 7	It will also hurt the tourism industry in Huaraz as people visit these mountains to see the snow capped peaks .	O O O O O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL B-PLACE O B-SPATIAL_ENTITY B-MOTION O B-PLACE O O O O O B-PLACE O	O O O O O O B-trajector B-trigger B-landmark O O O O O O O O O O O O
4 4	We had difficulties to find the road , but a friendly old women went beside our car until the edge of the river Maros , which we had to cross .	B-SPATIAL_ENTITY O O O B-MOTION O B-PATH O O O O O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O B-SPATIAL_ENTITY B-MOTION_SIGNAL O B-PATH B-SPATIAL_SIGNAL O B-PATH B-PATH O O B-SPATIAL_ENTITY O O B-MOTION O	B-mover O O O B-trigger O O O O O O O O O O O O O O O O O O O O O O O O O O
2 2	Taking a stroll down the avenue is such a national institution that there ’s even a colloquial expression for it : gin-bura .	O O B-MOTION B-MOTION_SIGNAL O B-PATH O O O O O O O O O O O O O O O O O	O O B-trigger O O O O O O O O O O O O O O O O O O O O
5 5	An amazing number of people use bicycles in the small towns , and I enjoyed sitting in the town plazas and seeing few cars .	O O O O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL B-SPATIAL_SIGNAL O O B-PLACE O O B-SPATIAL_ENTITY O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O O B-PLACE O O O O O	O O O O B-mover B-trigger O O O O O O O O O O O O O O O O O O O
25 25	Colon is a city where foreigners are regularly held at gun point in the daytime , and I left the marina only to give presentations at a local school as well as the rotary club .	B-PLACE O O B-PLACE B-SPATIAL_SIGNAL O O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-PLACE O O O O O B-SPATIAL_ENTITY B-MOTION O B-PLACE O O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O O B-PLACE O O O O O B-PLACE O	O O O O O O O O O O O O O O O O O O O O O O O O B-trajector B-trigger O O B-landmark O O O O O B-landmark O
4 4	The armed conflict here in Colombia is a complicated issue – if you have time , here is an article with more information .	O O B-NONMOTION_EVENT B-PLACE B-SPATIAL_SIGNAL B-PLACE O O O O O O O O O O O O O O O O O O	O O O B-trajector B-trigger B-landmark O O O O O O O O O O O O O O O O O O
25 25	Immediately upon leaving town , I was struck by the greenness of the place–there are forests , singing birds , and even a few lizards on the roadside .	O O B-MOTION B-PLACE O B-SPATIAL_ENTITY O O O O O O O B-PLACE O B-SPATIAL_ENTITY O O B-SPATIAL_ENTITY O O O O O B-SPATIAL_ENTITY B-SPATIAL_SIGNAL O B-PATH O	O O O O O O O O O O O O O O O B-trajector O O B-trajector O O O O O B-trajector B-trigger O B-landmark O
5 5	The coast , despite being in the tropics , was actually quite cool and covered in a thick fog due to cool ocean currents .	O B-PATH O O O B-SPATIAL_SIGNAL O B-PLACE O O O O O O B-SPATIAL_SIGNAL O O O B-SPATIAL_ENTITY O O O O O O	O B-trajector O O O B-trigger O B-landmark O O O O O O O O O O O O O O O O O
19 19	Across the Andes to Huaraz – Horse assisted bike touring Wednesday , September 27th , 2006 From Uchiza , on the east side of the Andes , I had planned to take a road which turned out to be only a horse trail .	O O O O O O O O O O O O O O O O O B-PLACE O B-SPATIAL_SIGNAL O O B-PLACE B-SPATIAL_SIGNAL O B-PATH O B-SPATIAL_ENTITY O O O B-MOTION O B-PATH O O O O O O O O B-PATH O	O O O O O O O O O O O O O O O O O B-trajector O B-trigger O O B-landmark O O O O O O O O O O O O O O O O O O O O O
23 23	The Prado owns perhaps 10,000 paintings , but at present can only display about 10 percent of them ( the overflow is either in storage or on loan to museums around the world .	O B-PLACE O O O O O O O O O O O O O O O O O O B-SPATIAL_ENTITY O O B-SPATIAL_SIGNAL B-PLACE O O O O O O O O O	O O O O O O O O O O O O O O O O O O O O B-trajector O O B-trigger B-landmark O O O O O O O O O
17 17	As we walked into the oak wood the road changed into a path , which we left at about 300 m from the confluence because we were getting away from it .	O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O O B-PLACE O B-PATH O O O B-PATH O O B-SPATIAL_ENTITY B-MOTION B-SPATIAL_SIGNAL B-MEASURE I-MEASURE I-MEASURE O O B-PLACE O B-SPATIAL_ENTITY O B-MOTION B-MOTION_SIGNAL B-MOTION_SIGNAL B-PLACE O	O O O O O O O O O O O O O O O O B-trajector B-trigger O O O O O O O O O O O O O O
25 25	( Family friends from home – the Vexlers , shown left – also made a cameo appearance as they were on vacation for a week in Peru – thanks for the dinner ! )	O O O O O O O O O O O O O O O O O O O O O B-NONMOTION_EVENT O O O B-SPATIAL_SIGNAL B-PLACE O O O O O O O	O O O O O O O O O O O O O O O O O O O O O B-trajector O O O B-trigger B-landmark O O O O O O O
10 10	Nearly 17 months ago I biked out my front door in California and started biking south .	O O O O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O O B-PLACE B-SPATIAL_SIGNAL B-PLACE O O B-MOTION B-MOTION_SIGNAL O	O O O O O O O O O B-trajector B-trigger B-landmark O O O O O
13 13	The next visitor is welcome to my watch – it came off somewhere on the way down – if you go at 7.30 am maybe you will find it by hearing the alarm go off .	O O O O O O O B-SPATIAL_ENTITY O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL B-PLACE B-SPATIAL_SIGNAL O B-PATH O O O B-SPATIAL_ENTITY B-MOTION O O O O B-SPATIAL_ENTITY O O B-SPATIAL_ENTITY O O O O O O O	O O O O O O O O O O O O B-trajector B-trigger O B-landmark O O O O O O O O O O O O O O O O O O O O
14 14	The collection of paintings by Raphael ( 1483–1520 ) in the Prado was once kidnapped by Napoleon and carted off to Paris , though soon recovered .	O B-SPATIAL_ENTITY O O O O O O O B-SPATIAL_SIGNAL O B-PLACE O O B-MOTION O O O B-MOTION O B-MOTION_SIGNAL B-PLACE O O O O O	O B-mover O O O O O O O O O O O O B-trigger O O O O O O O O O O O O
3 3	I have now arrived in Yurimaguas , a small city in the jungle , thus ending my two weeks of boat travel on the world 's largest river system .	B-SPATIAL_ENTITY O O B-MOTION B-MOTION_SIGNAL B-PLACE O O O B-PLACE B-SPATIAL_SIGNAL O B-PLACE O O O O O O O B-MOTION_SIGNAL B-MOTION B-MOTION_SIGNAL O O O O O B-PATH O	B-mover O O B-trigger O O O O O O O O O O O O O O O O O O O O O O O O O O
13 13	On the way to Gelu , the next village , we had to drive over meadows and fields but fortunately there were some farmers we could ask for the right way , which was even harder to drive than the ways before .	B-MOTION_SIGNAL O B-PATH B-SPATIAL_SIGNAL B-PLACE O O O B-PLACE O B-SPATIAL_ENTITY O O B-MOTION B-MOTION_SIGNAL B-PLACE O B-PLACE O O O O O O O O O O O O B-PATH O O O O O O B-MOTION O O B-PATH O O	O O O O O O O O O O B-mover O O B-trigger O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
12 12	Because a dirtroad started right at the monument ( on the right coming from Panciu ) and seemed to head exactly towards the target point ( direction North-North-West ) , we left the car and continued our trip on foot on the Dealu Mare hill .	O O B-PATH B-MOTION O B-MOTION_SIGNAL O B-PLACE O B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL I-SPATIAL_SIGNAL B-MOTION B-MOTION_SIGNAL B-PLACE O O O O B-MOTION O B-MOTION_SIGNAL O O B-PLACE O B-MOTION_SIGNAL I-MOTION_SIGNAL O O B-SPATIAL_ENTITY B-MOTION O B-SPATIAL_ENTITY O O O B-MOTION B-MOTION_SIGNAL I-MOTION_SIGNAL B-MOTION_SIGNAL O B-PLACE I-PLACE I-PLACE O	O O O O O O O O O O O O B-trigger O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
11 11	The following morning , I thought I was well enough to bike , and I rode 15 miles uphill to the small town of Copala .	O O O O B-SPATIAL_ENTITY O B-SPATIAL_ENTITY O O O O B-MOTION O O B-SPATIAL_ENTITY B-MOTION B-MEASURE I-MEASURE B-MOTION_SIGNAL B-MOTION_SIGNAL O O B-PLACE O B-PLACE O	O O O O O O B-mover O O O O B-trigger O O O O O O O O O O O O O O
3 3	We were soon joined by 12 other young travelers from Australia , England , the Netherlands , Canada , South Africa , Singapore , and the U.S.	B-SPATIAL_ENTITY O O B-MOTION O O O O B-SPATIAL_ENTITY O B-PLACE O B-PLACE O O B-PLACE O B-PLACE O B-PLACE I-PLACE O B-PLACE O O O B-PLACE	O O O B-trigger O O O O B-mover O O O O O O O O O O O O O O O O O O
3 3	Having never bike toured before , he rode to Panama with some other cyclists , and then decided he might as well also ride to Patagonia ( he purchased a trailer in Ecuador , which is what you see him riding with in these photos ) .	O O B-MOTION_SIGNAL B-MOTION O O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL B-PLACE O O O B-SPATIAL_ENTITY O O O O B-SPATIAL_ENTITY O O O O B-MOTION B-MOTION_SIGNAL B-PLACE O B-SPATIAL_ENTITY B-NONMOTION_EVENT O O B-SPATIAL_SIGNAL B-PLACE O O O O O O B-SPATIAL_ENTITY B-MOTION O O O O O O	O O O B-trigger O O B-mover O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
13 14	No time for messing about – long drive home so I changed and set off .	O O O O O O O B-MOTION B-PLACE O B-SPATIAL_ENTITY O O B-MOTION I-MOTION O	O O O O O O O O O O B-mover O O B-trigger I-trigger O
22 22	The Melting Spine of the Andes Wednesday , January 17th , 2007 Since Peru , I have followed the Andes south , crossing the continental divide at least five times and gazing at peaks that stretch to 20,000 feet .	O O O O O O O O O O O O O B-PLACE O B-SPATIAL_ENTITY O B-MOTION O B-PATH B-SPATIAL_SIGNAL O B-MOTION O O B-PATH O O O O O O O B-PLACE O B-MOTION B-MOTION_SIGNAL B-MEASURE I-MEASURE O	O O O O O O O O O O O O O O O B-mover O O O O O O B-trigger O O O O O O O O O O O O O O O O O
30 30	The morning we choose was perfect â € “ not a cloud in the sky , and , after hiking beneath the stars for hours , we watched the sunrise over the glaciated peaks .	O O B-SPATIAL_ENTITY O O O O O O O O B-SPATIAL_ENTITY B-SPATIAL_SIGNAL O B-PLACE O O O O B-MOTION O O O O O O B-SPATIAL_ENTITY O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O O B-PLACE O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-trajector B-trigger O O B-landmark O
2 2	If you come from Ciucea you turn right when you see that church on your left .	O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL B-PLACE B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O B-SPATIAL_ENTITY O O B-PLACE B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL I-SPATIAL_SIGNAL O	O B-mover B-trigger O O O O O O O O O O O O O O
9 10	We managed to find a very bad road , full of tractor trails and went by car till we were aproximately 800 m away from the point .	B-SPATIAL_ENTITY O O O O O O B-PATH O B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL O B-PATH O B-MOTION B-MOTION_SIGNAL I-MOTION_SIGNAL O B-SPATIAL_ENTITY O B-MEASURE I-MEASURE I-MEASURE B-SPATIAL_SIGNAL O O B-PLACE O	O O O O O O O B-landmark O B-trigger I-trigger O B-trajector O O O O O O O O O O O O O O O
31 31	I gave two school presentations , attended a conference on sustainable transportation , visited a team designing bike routes for Lima , met with people styding the effects of global warming in Peru , spent some time hanging out at the South American Explorer ’s clubhouse , and also tried to be a tourist for two days , visiting museums .	B-SPATIAL_ENTITY O O O B-NONMOTION_EVENT O B-NONMOTION_EVENT O B-NONMOTION_EVENT O O O O B-MOTION O B-SPATIAL_ENTITY O O B-PATH B-SPATIAL_SIGNAL B-PLACE O B-MOTION O B-SPATIAL_ENTITY O O O O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL B-PLACE O O O O B-NONMOTION_EVENT I-NONMOTION_EVENT B-SPATIAL_SIGNAL O O O O O B-PLACE O O O O O O O O O O O O B-MOTION B-PLACE O	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-trajector B-trigger B-landmark O O O O O O O O O O O O O O O O O O O O O O O O O O O O
21 21	I expected the point to be in reeds and swamps but the valley is all arable and it was easy to walk to the point .	B-SPATIAL_ENTITY O O B-PLACE O O B-SPATIAL_SIGNAL B-SPATIAL_ENTITY O B-PLACE O O O O O O O O O O O B-MOTION B-MOTION_SIGNAL O B-PLACE O	B-mover O O O O O O O O O O O O O O O O O O O O B-trigger O O O O
0 0	Driving away from Tulcea , I crossed the Danube for the 3rd of 4 times in 2 days .	B-MOTION B-MOTION_SIGNAL B-MOTION_SIGNAL B-PLACE O B-SPATIAL_ENTITY B-MOTION O B-PATH O O O O O O O O O O	B-trigger O O O O B-mover O O O O O O O O O O O O O
21 21	Needless to say that , because of the treetop cover , we had poor satellite coverage , but we managed to locate the confluence with a 10-15 m error , after some wandering around .	O O O O O O O O O O O B-SPATIAL_ENTITY O O O O O O B-SPATIAL_ENTITY O O B-MOTION O B-PLACE O O O O O O O O B-MOTION B-MOTION_SIGNAL O	O O O O O O O O O O O O O O O O O O B-mover O O B-trigger O O O O O O O O O O O O O
21 21	Across the Paseo del Prado is the Museo Thyssen-Bor­nemizsa , a recent addition to Madrid ’s already impressive art collections housed in the Palacio de Villahermosa .	B-SPATIAL_SIGNAL O B-PATH I-PATH I-PATH O O B-PLACE I-PLACE O O O O O B-PLACE O O O O O B-NONMOTION_EVENT B-SPATIAL_SIGNAL O B-PLACE I-PLACE I-PLACE O	O O O O O O O O O O O O O O O O O O O O B-trajector B-trigger O B-landmark I-landmark I-landmark O
20 21	I cooked my dinner on a vacant lot overlooking the sea , and , when the near-full moon rose , took off south again on my bike .	B-SPATIAL_ENTITY B-NONMOTION_EVENT O O B-SPATIAL_SIGNAL O O B-PLACE B-SPATIAL_SIGNAL O B-PLACE O O O O O O B-SPATIAL_ENTITY B-MOTION O B-MOTION I-MOTION B-MOTION_SIGNAL O B-MOTION_SIGNAL I-MOTION_SIGNAL I-MOTION_SIGNAL O	B-mover O O O O O O O O O O O O O O O O O O O B-trigger I-trigger O O O O O O
20 20	We had only 70 more km to Cluj ( the next important city on our way back to Bucharest ) taking this way , while if getting back to Ciucea and on to Cluj the normal way would have been now about 25 km longer .	B-SPATIAL_ENTITY O O B-MEASURE I-MEASURE I-MEASURE O B-PLACE O O O O B-PLACE O O B-PATH O O B-PLACE O B-MOTION O B-PATH O O O B-MOTION B-MOTION_SIGNAL B-MOTION_SIGNAL B-PLACE O B-MOTION_SIGNAL B-MOTION_SIGNAL B-PLACE O O B-PATH O O O O O O O O O	B-mover O O O O O O O O O O O O O O O O O O O B-trigger O O O O O O O O O O O O O O O O O O O O O O O O O
15 15	According to my city guide Carleton , many of the houses on the hill sides washed away .	O O O O O O O O O O B-PLACE B-SPATIAL_SIGNAL O O B-PATH B-MOTION B-MOTION_SIGNAL O	O O O O O O O O O O B-mover O O O O B-trigger O O
20 20	Camping next to families in the countryside , I am inevitably asked about money and about what life is like in the U.S.	B-NONMOTION_EVENT B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL B-SPATIAL_ENTITY B-SPATIAL_SIGNAL O B-PLACE O B-SPATIAL_ENTITY O O O O O O O O B-NONMOTION_EVENT O O B-SPATIAL_SIGNAL O B-PLACE	O O O O O O O O O O O O O O O O O B-trajector O O B-trigger O B-landmark
25 25	As with all major cities , the outskirts are filled with shantytowns of poorer houses that I pass before entering a section of the town where the middle and upper classes live .	O O O O B-PLACE O O B-PLACE O B-SPATIAL_SIGNAL O B-PLACE B-SPATIAL_SIGNAL O B-PLACE O B-SPATIAL_ENTITY B-MOTION O B-MOTION O B-PLACE B-SPATIAL_SIGNAL O B-PLACE B-SPATIAL_SIGNAL O O O O O B-NONMOTION_EVENT O	O O O O O O O O O O O O O O O O O O O O O B-landmark O O O B-trigger O O O O O B-trajector O
17 17	I then rode two days back southeast across the peninsula to La Paz , the largest city in southern Baja .	B-SPATIAL_ENTITY O B-MOTION O O B-MOTION_SIGNAL B-MOTION_SIGNAL B-MOTION_SIGNAL O B-PLACE B-MOTION_SIGNAL B-PLACE I-PLACE O O O B-PLACE B-SPATIAL_SIGNAL B-PLACE I-PLACE O	O O O O O O O O O O O O O O O O B-trajector B-trigger B-landmark I-landmark O
13 13	So we had to park the car about 700 m far from N45E23 at the edge of a forest .	O B-SPATIAL_ENTITY O O B-MOTION O B-SPATIAL_ENTITY B-MEASURE I-MEASURE I-MEASURE B-SPATIAL_SIGNAL I-SPATIAL_SIGNAL B-PLACE B-SPATIAL_SIGNAL O B-PATH B-SPATIAL_SIGNAL O B-PLACE O	O O O O O O O O O O O O O B-trigger O B-landmark O O O O
24 24	Now the Plaza de la Independencia , in which the arch stands , is a bedlam of midtown traffic and gateway to newer barrios east .	O O B-PLACE I-PLACE I-PLACE I-PLACE O B-SPATIAL_SIGNAL B-PLACE O B-SPATIAL_ENTITY B-NONMOTION_EVENT O O O B-NONMOTION_EVENT O O O O O O O B-PLACE B-SPATIAL_SIGNAL O	O O B-landmark I-landmark I-landmark I-landmark O O O O O O O O O O O O O O O O O B-trajector B-trigger O
0 0	Biking by one school , a number of the students rushed out of their recess to talk to me , and I talked to them about my project .	B-MOTION B-MOTION_SIGNAL O B-PLACE O O O O O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL I-MOTION_SIGNAL O B-NONMOTION_EVENT O O O B-SPATIAL_ENTITY O O B-SPATIAL_ENTITY O O O O O O O	B-trigger O O O O O O O O O O O O O O O O O O O O B-mover O O O O O O O
24 24	Alex let me climb to the top of the tower , where I was able to look across the treetops of a forest that stretches for thousands of miles beyond the horizon .	O O B-SPATIAL_ENTITY B-MOTION B-MOTION_SIGNAL O B-PLACE B-SPATIAL_SIGNAL O B-SPATIAL_ENTITY O B-SPATIAL_SIGNAL B-SPATIAL_ENTITY O O O B-NONMOTION_EVENT O O B-SPATIAL_ENTITY B-SPATIAL_SIGNAL O B-PLACE O B-MOTION O B-MEASURE I-MEASURE I-MEASURE B-MOTION_SIGNAL O B-PATH O	O O O O O O O O O O O O O O O O O O O O O O B-mover O B-trigger O O O O O O O O
18 18	After crossing the border to Romania we took the road to Arad and reached the village Pecica , where we wanted to turn right in order to come to Sînpetru German .	O B-MOTION O B-PATH B-MOTION_SIGNAL B-PLACE B-SPATIAL_ENTITY B-MOTION O B-PATH B-MOTION_SIGNAL B-PLACE O B-MOTION O B-PLACE B-PLACE O B-SPATIAL_SIGNAL B-SPATIAL_ENTITY O O B-MOTION B-MOTION_SIGNAL O O O B-MOTION B-MOTION_SIGNAL B-PLACE I-PLACE O	O O O O O O O O O O O O O O O B-landmark O O B-trigger O O O B-trajector O O O O O O O O O
11 11	Confronting headwinds and fog , I decided to turn inland and followed an impressive canyon into the Andes .	B-MOTION B-NONMOTION_EVENT O B-SPATIAL_ENTITY O B-SPATIAL_ENTITY O O B-MOTION B-MOTION_SIGNAL O B-MOTION O O B-PATH B-MOTION_SIGNAL O B-PATH O	O O O O O B-mover O O O O O B-trigger O O O O O O O
